,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-18 05:00:00,17.0,60.0,2.445043794864545
2017-06-18 06:00:00,17.0,188.0,162.84285084584005
2017-06-18 07:00:00,18.4,364.0,230.03155337619674
2017-06-18 08:00:00,20.0,537.0,60.52565039841458
2017-06-18 09:00:00,21.0,671.0,1805.9917530763346
2017-06-18 10:00:00,21.0,780.0,3129.502830192439
2017-06-18 11:00:00,21.0,844.0,3180.672469670468
2017-06-18 12:00:00,22.0,843.0,5042.886551712691
2017-06-18 13:00:00,23.0,777.0,6855.721384164058
2017-06-18 14:00:00,24.0,717.0,4370.70773124488
2017-06-18 15:00:00,23.0,599.0,4337.368347840145
2017-06-18 16:00:00,22.8,433.0,4365.334598920426
2017-06-18 17:00:00,22.0,293.0,3657.2679194018833
2017-06-18 18:00:00,22.0,140.0,3606.5403435160956
2017-06-18 19:00:00,21.0,37.0,3174.475266454588
2017-06-18 20:00:00,20.0,2.0,1471.1825274926248
2017-06-18 21:00:00,20.0,0.0,235.32155845238415
2017-06-18 22:00:00,20.0,0.0,540.2530561341331
2017-06-18 23:00:00,20.0,0.0,558.7159901998833
2017-06-19 00:00:00,19.0,0.0,82.49372761966205
2017-06-19 01:00:00,19.0,0.0,78.91366501061758
2017-06-19 02:00:00,19.0,0.0,82.56372641298077
2017-06-19 03:00:00,19.0,0.0,93.20699092808914
2017-06-19 04:00:00,17.0,0.0,85.37889021858865
2017-06-19 05:00:00,17.0,65.0,52.71750724665958
2017-06-19 06:00:00,17.0,192.0,7.202206828522653
2017-06-19 07:00:00,18.0,359.0,168.252473236289
2017-06-19 08:00:00,20.0,529.0,7.644716045582858
2017-06-19 09:00:00,21.0,673.0,4251.668164058576
2017-06-19 10:00:00,24.0,744.0,3065.628054160657
2017-06-19 11:00:00,21.0,747.0,3865.059117465951
2017-06-19 12:00:00,22.0,730.0,6331.763613691762
2017-06-19 13:00:00,22.9,719.0,6323.9263427044425
2017-06-19 14:00:00,22.0,632.0,5183.314927824916
2017-06-19 15:00:00,22.0,478.0,5448.137330534207
2017-06-19 16:00:00,22.6,330.0,3795.9376388868814
2017-06-19 17:00:00,22.0,187.0,3099.8474304209026
2017-06-19 18:00:00,21.0,82.0,2750.0098321764003
2017-06-19 19:00:00,20.7,20.0,2775.3139139535665
2017-06-19 20:00:00,20.0,1.0,1822.2363895565948
2017-06-19 21:00:00,20.0,0.0,255.6178851823452
2017-06-19 22:00:00,19.5,0.0,626.3016956887325
2017-06-19 23:00:00,20.0,0.0,590.2655031484668
2017-06-20 00:00:00,19.0,0.0,81.74357549749912
2017-06-20 01:00:00,18.5,0.0,89.23674582366397
2017-06-20 02:00:00,18.0,0.0,102.06577006201975
2017-06-20 03:00:00,18.0,0.0,78.08049565092918
2017-06-20 04:00:00,16.0,0.0,10.678966488346234
2017-06-20 05:00:00,16.0,55.0,70.20064098500208
2017-06-20 06:00:00,16.0,173.0,100.58956781543031
2017-06-20 07:00:00,18.5,322.0,146.64472211921554
2017-06-20 08:00:00,20.0,504.0,199.07048122000293
2017-06-20 09:00:00,21.0,627.0,1034.0974026976548
2017-06-20 10:00:00,17.3,680.0,2758.802210439966
2017-06-20 11:00:00,22.0,706.0,3151.4401221669077
2017-06-20 12:00:00,22.0,716.0,3394.1459337150645
2017-06-20 13:00:00,18.4,748.0,4580.764711010459
2017-06-20 14:00:00,22.0,680.0,3863.3191221803786
2017-06-20 15:00:00,22.0,579.0,3780.3750035208923
2017-06-20 16:00:00,21.7,481.0,3663.708756172496
2017-06-20 17:00:00,21.0,320.0,2750.902586386837
